,Austen_Persuasion,Doyle_TheHound,Austen_Pride,Doyle_TheLostWorld
edged,-0.0010560948630525722,-0.0010560948630525722,0.0005727022702644731,0.0015394874558406716
veracity,-0.0010560948630525722,-0.0010560948630525722,0.0005727022702644731,0.0015394874558406716
depressed,-0.0010560948630525722,-0.0010560948630525722,0.0005727022702644731,0.0015394874558406716
embraced,-0.0010560948630525722,-0.0010560948630525722,0.0005727022702644731,0.0015394874558406716
pleasantry,-0.0010560948630525722,-0.0010560948630525722,0.0005727022702644731,0.0015394874558406716
wealthy,0.00015085811996018027,0.0006258626936304094,-0.001037255986518606,0.000260535172928016
official,0.00015085811996018027,0.0006258626936304094,-0.001037255986518606,0.000260535172928016
bewildering,0.00015085811996018027,0.0006258626936304094,-0.001037255986518606,0.000260535172928016
robust,0.00015085811996018027,0.0006258626936304094,-0.001037255986518606,0.000260535172928016
publicity,0.00015085811996018027,0.0006258626936304094,-0.001037255986518606,0.000260535172928016
brilliant,0.00015085811996018027,0.0006258626936304094,-0.001037255986518606,0.000260535172928016
associated,0.00015085811996018027,0.0006258626936304094,-0.001037255986518606,0.000260535172928016
equipped,0.00015085811996018027,0.0006258626936304094,-0.001037255986518606,0.000260535172928016
soldier,0.00015085811996018027,0.0006258626936304094,-0.001037255986518606,0.000260535172928016
horribly,0.00015085811996018027,0.0006258626936304094,-0.001037255986518606,0.000260535172928016
works,0.00015085811996018027,0.0006258626936304094,-0.001037255986518606,0.000260535172928016
grievance,0.00015085811996018027,0.0006258626936304094,-0.001037255986518606,0.000260535172928016
glee,0.00015085811996018027,0.0006258626936304094,-0.001037255986518606,0.000260535172928016
renew,0.00015085811996018027,0.0006258626936304094,-0.001037255986518606,0.000260535172928016
mischievous,0.00015085811996018027,0.0006258626936304094,-0.001037255986518606,0.000260535172928016
silk,0.00015085811996018027,0.0006258626936304094,-0.001037255986518606,0.000260535172928016
pitch,0.00015085811996018027,0.0006258626936304094,-0.001037255986518606,0.000260535172928016
hedges,0.00015085811996018027,0.0006258626936304094,-0.001037255986518606,0.000260535172928016
rugged,0.00015085811996018027,0.0006258626936304094,-0.001037255986518606,0.000260535172928016
replaced,0.00015085811996018027,0.0006258626936304094,-0.001037255986518606,0.000260535172928016
lip,0.00015085811996018027,0.0006258626936304094,-0.001037255986518606,0.000260535172928016
withholding,0.00015085811996018027,0.0006258626936304094,-0.001037255986518606,0.000260535172928016
spoil,0.00015085811996018027,0.0006258626936304094,-0.001037255986518606,0.000260535172928016
ambitious,0.00015085811996018027,0.0006258626936304094,-0.001037255986518606,0.000260535172928016
dusk,0.00015085811996018027,0.0006258626936304094,-0.001037255986518606,0.000260535172928016
strangest,0.00015085811996018027,0.0006258626936304094,-0.001037255986518606,0.000260535172928016
placid,0.00015085811996018027,0.0006258626936304094,-0.001037255986518606,0.000260535172928016
nursed,0.00015085811996018027,0.0006258626936304094,-0.001037255986518606,0.000260535172928016
bulky,0.00015085811996018027,0.0006258626936304094,-0.001037255986518606,0.000260535172928016
distinct,0.00015085811996018027,0.0006258626936304094,-0.001037255986518606,0.000260535172928016
borders,0.00015085811996018027,0.0006258626936304094,-0.001037255986518606,0.000260535172928016
convictions,0.00015085811996018027,0.0006258626936304094,-0.001037255986518606,0.000260535172928016
marking,0.00015085811996018027,0.0006258626936304094,-0.001037255986518606,0.000260535172928016
shelf,0.00015085811996018027,0.0006258626936304094,-0.001037255986518606,0.000260535172928016
entangled,0.00015085811996018027,0.0006258626936304094,-0.001037255986518606,0.000260535172928016
merged,0.00015085811996018027,0.0006258626936304094,-0.001037255986518606,0.000260535172928016
balanced,0.00015085811996018027,0.0006258626936304094,-0.001037255986518606,0.000260535172928016
heaped,0.00015085811996018027,0.0006258626936304094,-0.001037255986518606,0.000260535172928016
powerless,0.00015085811996018027,0.0006258626936304094,-0.001037255986518606,0.000260535172928016
hearth,-0.0010351589817391383,0.0022910783785588923,-0.00022076041508061568,-0.0010351589817391383
hired,-0.0010351589817391383,0.0022910783785588923,-0.00022076041508061568,-0.0010351589817391383
inferences,-0.0010351589817391383,0.0022910783785588923,-0.00022076041508061568,-0.0010351589817391383
correspond,-0.0010351589817391383,0.0022910783785588923,-0.00022076041508061568,-0.0010351589817391383
downs,-0.0010351589817391383,0.0022910783785588923,-0.00022076041508061568,-0.0010351589817391383
recognizing,-0.0010351589817391383,0.0022910783785588923,-0.00022076041508061568,-0.0010351589817391383
paler,-0.0010351589817391383,0.0022910783785588923,-0.00022076041508061568,-0.0010351589817391383
corroborated,-0.0010351589817391383,0.0022910783785588923,-0.00022076041508061568,-0.0010351589817391383
coats,-0.0010351589817391383,0.0022910783785588923,-0.00022076041508061568,-0.0010351589817391383
strangely,-0.0010351589817391383,0.0022910783785588923,-0.00022076041508061568,-0.0010351589817391383
resisted,-0.0010351589817391383,0.0022910783785588923,-0.00022076041508061568,-0.0010351589817391383
billiard,-0.0010351589817391383,0.0022910783785588923,-0.00022076041508061568,-0.0010351589817391383
nowhere,-0.0010351589817391383,0.0022910783785588923,-0.00022076041508061568,-0.0010351589817391383
passions,-0.0010351589817391383,0.0022910783785588923,-0.00022076041508061568,-0.0010351589817391383
reporting,-0.0010351589817391383,0.0022910783785588923,-0.00022076041508061568,-0.0010351589817391383
blown,-0.0010351589817391383,0.0022910783785588923,-0.00022076041508061568,-0.0010351589817391383
device,-0.0010351589817391383,0.0022910783785588923,-0.00022076041508061568,-0.0010351589817391383
individual,0.00015943850666817272,-0.0010286755998106134,0.0006001215335064319,0.00026911555963600843
feature,0.00015943850666817272,-0.0010286755998106134,0.0006001215335064319,0.00026911555963600843
indignant,0.00015943850666817272,-0.0010286755998106134,0.0006001215335064319,0.00026911555963600843
behave,0.00015943850666817272,-0.0010286755998106134,0.0006001215335064319,0.00026911555963600843
accused,0.00015943850666817272,-0.0010286755998106134,0.0006001215335064319,0.00026911555963600843
mountains,0.00015943850666817272,-0.0010286755998106134,0.0006001215335064319,0.00026911555963600843
disengaged,0.00015943850666817272,-0.0010286755998106134,0.0006001215335064319,0.00026911555963600843
suspended,0.00015943850666817272,-0.0010286755998106134,0.0006001215335064319,0.00026911555963600843
instruction,0.00015943850666817272,-0.0010286755998106134,0.0006001215335064319,0.00026911555963600843
woody,0.00015943850666817272,-0.0010286755998106134,0.0006001215335064319,0.00026911555963600843
handsomely,0.00015943850666817272,-0.0010286755998106134,0.0006001215335064319,0.00026911555963600843
lesson,0.00015943850666817272,-0.0010286755998106134,0.0006001215335064319,0.00026911555963600843
decisive,0.00015943850666817272,-0.0010286755998106134,0.0006001215335064319,0.00026911555963600843
avoiding,0.00015943850666817272,-0.0010286755998106134,0.0006001215335064319,0.00026911555963600843
bold,0.00015943850666817272,-0.0010286755998106134,0.0006001215335064319,0.00026911555963600843
existing,0.00015943850666817272,-0.0010286755998106134,0.0006001215335064319,0.00026911555963600843
trusting,0.00015943850666817272,-0.0010286755998106134,0.0006001215335064319,0.00026911555963600843
detected,0.00015943850666817272,-0.0010286755998106134,0.0006001215335064319,0.00026911555963600843
accompanying,0.00015943850666817272,-0.0010286755998106134,0.0006001215335064319,0.00026911555963600843
abuse,0.00015943850666817272,-0.0010286755998106134,0.0006001215335064319,0.00026911555963600843
praises,0.00015943850666817272,-0.0010286755998106134,0.0006001215335064319,0.00026911555963600843
striving,0.00015943850666817272,-0.0010286755998106134,0.0006001215335064319,0.00026911555963600843
inspired,0.00015943850666817272,-0.0010286755998106134,0.0006001215335064319,0.00026911555963600843
irritable,0.00015943850666817272,-0.0010286755998106134,0.0006001215335064319,0.00026911555963600843
gratify,0.00015943850666817272,-0.0010286755998106134,0.0006001215335064319,0.00026911555963600843
bears,0.00015943850666817272,-0.0010286755998106134,0.0006001215335064319,0.00026911555963600843
rallied,0.00015943850666817272,-0.0010286755998106134,0.0006001215335064319,0.00026911555963600843
breach,-0.0010265785950311459,0.0006365400851178695,0.001416617104944422,-0.0010265785950311459
haughty,-0.0010265785950311459,0.0006365400851178695,0.001416617104944422,-0.0010265785950311459
repaired,-0.0010265785950311459,0.0006365400851178695,0.001416617104944422,-0.0010265785950311459
complimented,-0.0010265785950311459,0.0006365400851178695,0.001416617104944422,-0.0010265785950311459
presumption,-0.0010265785950311459,0.0006365400851178695,0.001416617104944422,-0.0010265785950311459
wilful,-0.0010265785950311459,0.0006365400851178695,0.001416617104944422,-0.0010265785950311459
punish,-0.0010265785950311459,0.0006365400851178695,0.001416617104944422,-0.0010265785950311459
summons,-0.0010265785950311459,0.0006365400851178695,0.001416617104944422,-0.0010265785950311459
restoration,-0.0010265785950311459,0.0006365400851178695,0.001416617104944422,-0.0010265785950311459
skill,-0.0010265785950311459,0.0006365400851178695,0.001416617104944422,-0.0010265785950311459
intrusion,-0.0010265785950311459,0.0006365400851178695,0.001416617104944422,-0.0010265785950311459
olive,-0.0010265785950311459,0.0006365400851178695,0.001416617104944422,-0.0010265785950311459
courses,-0.0010265785950311459,0.0006365400851178695,0.001416617104944422,-0.0010265785950311459
jones,-0.0010179982083231534,-0.0010179982083231534,0.0030539946249694603,-0.0010179982083231534
apologise,-0.0010179982083231534,-0.0010179982083231534,0.0030539946249694603,-0.0010179982083231534
impropriety,-0.0010179982083231534,-0.0010179982083231534,0.0030539946249694603,-0.0010179982083231534
censure,-0.0010179982083231534,-0.0010179982083231534,0.0030539946249694603,-0.0010179982083231534
bingleys,-0.0010179982083231534,-0.0010179982083231534,0.0030539946249694603,-0.0010179982083231534
mercenary,-0.0010179982083231534,-0.0010179982083231534,0.0030539946249694603,-0.0010179982083231534
complacency,-0.0010179982083231534,-0.0010179982083231534,0.0030539946249694603,-0.0010179982083231534
steward,-0.0010179982083231534,-0.0010179982083231534,0.0030539946249694603,-0.0010179982083231534
lawn,-0.0010179982083231534,-0.0010179982083231534,0.0030539946249694603,-0.0010179982083231534
uncivil,-0.0010179982083231534,-0.0010179982083231534,0.0030539946249694603,-0.0010179982083231534
relating,-0.0010179982083231534,-0.0010179982083231534,0.0030539946249694603,-0.0010179982083231534
enumerating,-0.0010179982083231534,-0.0010179982083231534,0.0030539946249694603,-0.0010179982083231534
finer,-0.0010179982083231534,-0.0010179982083231534,0.0030539946249694603,-0.0010179982083231534
arisen,-0.0010179982083231534,-0.0010179982083231534,0.0030539946249694603,-0.0010179982083231534
mode,-0.0010179982083231534,-0.0010179982083231534,0.0030539946249694603,-0.0010179982083231534
diffidence,-0.0010179982083231534,-0.0010179982083231534,0.0030539946249694603,-0.0010179982083231534
collinses,-0.0010179982083231534,-0.0010179982083231534,0.0030539946249694603,-0.0010179982083231534
whist,-0.0010179982083231534,-0.0010179982083231534,0.0030539946249694603,-0.0010179982083231534
entreat,-0.0010179982083231534,-0.0010179982083231534,0.0030539946249694603,-0.0010179982083231534
philosophy,-0.0010179982083231534,-0.0010179982083231534,0.0030539946249694603,-0.0010179982083231534
pianoforte,-0.0010179982083231534,-0.0010179982083231534,0.0030539946249694603,-0.0010179982083231534
punishment,-0.0010179982083231534,-0.0010179982083231534,0.0030539946249694603,-0.0010179982083231534
attributed,-0.0010179982083231534,-0.0010179982083231534,0.0030539946249694603,-0.0010179982083231534
dish,-0.0010179982083231534,-0.0010179982083231534,0.0030539946249694603,-0.0010179982083231534
humility,-0.0010179982083231534,-0.0010179982083231534,0.0030539946249694603,-0.0010179982083231534
temples,0.0013663914896809254,0.0006532819568723684,-0.001009836723276647,-0.001009836723276647
counsel,0.0013663914896809254,0.0006532819568723684,-0.001009836723276647,-0.001009836723276647
widower,0.0013663914896809254,0.0006532819568723684,-0.001009836723276647,-0.001009836723276647
gossip,0.0013663914896809254,0.0006532819568723684,-0.001009836723276647,-0.001009836723276647
internal,0.0013663914896809254,0.0006532819568723684,-0.001009836723276647,-0.001009836723276647
squire,0.0013663914896809254,0.0006532819568723684,-0.001009836723276647,-0.001009836723276647
unfounded,0.0013663914896809254,0.0006532819568723684,-0.001009836723276647,-0.001009836723276647
farmer,0.0013663914896809254,0.0006532819568723684,-0.001009836723276647,-0.001009836723276647
states,0.0013663914896809254,0.0006532819568723684,-0.001009836723276647,-0.001009836723276647
shrewd,0.0013663914896809254,0.0006532819568723684,-0.001009836723276647,-0.001009836723276647
infirm,0.0013663914896809254,0.0006532819568723684,-0.001009836723276647,-0.001009836723276647
foreseeing,0.0013663914896809254,0.0006532819568723684,-0.001009836723276647,-0.001009836723276647
