,Austen_Persuasion,Doyle_TheHound,Austen_Pride,Doyle_TheLostWorld
2nd,0.0,0.0,0.0,0.0012977911594466219
3,0.0011881141064787862,0.0033262373602980307,0.0008143985666585227,0.0
30,0.0,0.0,0.0008143985666585227,0.0
31,0.0,0.0,0.0008143985666585227,0.0
32,0.0,0.0,0.0008143985666585227,0.0
33,0.0,0.0,0.0008143985666585227,0.0
34,0.0,0.0,0.0008143985666585227,0.0
35,0.0,0.0,0.0008143985666585227,0.0
36,0.0,0.0,0.0008143985666585227,0.0
37,0.0,0.0,0.0008143985666585227,0.0
38,0.0,0.0,0.0008143985666585227,0.0
39,0.0,0.0,0.0008143985666585227,0.0
4,0.0011881141064787862,0.0016631186801490153,0.0008143985666585227,0.0
40,0.0,0.0,0.0008143985666585227,0.0
41,0.0,0.0,0.0008143985666585227,0.0012977911594466219
42,0.0,0.0,0.0008143985666585227,0.0
43,0.0,0.0,0.0008143985666585227,0.0
44,0.0,0.0,0.0008143985666585227,0.0
45,0.0,0.0,0.0008143985666585227,0.0
46,0.0,0.0,0.0008143985666585227,0.0
47,0.0,0.0,0.0008143985666585227,0.0
470,0.0,0.0,0.0,0.0012977911594466219
48,0.0,0.0,0.0008143985666585227,0.0
49,0.0,0.0,0.0008143985666585227,0.0
5,0.003564342319436359,0.0016631186801490153,0.0008143985666585227,0.0
50,0.0,0.0,0.0008143985666585227,0.0
51,0.0,0.0,0.0008143985666585227,0.0
52,0.0,0.0,0.0008143985666585227,0.0
53,0.0,0.0,0.0008143985666585227,0.0
54,0.0,0.0,0.0008143985666585227,0.0
55,0.0,0.0,0.0008143985666585227,0.0
56,0.0,0.0,0.0008143985666585227,0.0
57,0.0,0.0,0.0008143985666585227,0.0
577,0.0,0.0,0.0,0.0012977911594466219
58,0.0,0.0,0.0008143985666585227,0.0
59,0.0,0.0,0.0008143985666585227,0.0
6,0.0011881141064787862,0.0016631186801490153,0.0016287971333170453,0.0
60,0.0,0.0,0.0008143985666585227,0.0
61,0.0,0.0,0.0008143985666585227,0.0
66,0.0,0.0016631186801490153,0.0,0.0
7,0.0011881141064787862,0.0016631186801490153,0.0008143985666585227,0.0
7th,0.0,0.0,0.0,0.0012977911594466219
8,0.0011881141064787862,0.0016631186801490153,0.0008143985666585227,0.0
8th,0.0,0.0,0.0,0.0012977911594466219
9,0.0023762282129575723,0.0016631186801490153,0.0008143985666585227,0.0
a,1.8950419998336638,2.1720329962746145,1.5921491978174118,2.4580164559919018
aback,0.0,0.0016631186801490153,0.0,0.0
abandon,0.0,0.0016631186801490153,0.0,0.0012977911594466219
abandoned,0.0,0.006652474720596061,0.0,0.003893373478339866
abandoning,0.0,0.0016631186801490153,0.0,0.0
abandons,0.0,0.0016631186801490153,0.0,0.0
abatement,0.0,0.0,0.0008143985666585227,0.0
abbey,0.0,0.0,0.0,0.0025955823188932438
abbreviation,0.0011881141064787862,0.0,0.0,0.0
abdication,0.0011881141064787862,0.0,0.0,0.0
abetting,0.0,0.0016631186801490153,0.0,0.0
abeyance,0.0,0.0,0.0,0.0012977911594466219
abhor,0.0,0.0016631186801490153,0.0,0.0
abhorrence,0.0,0.0,0.004886391399951136,0.0
abhorrent,0.0,0.0,0.0008143985666585227,0.0
abhors,0.0,0.0,0.0,0.0012977911594466219
abide,0.0011881141064787862,0.0,0.0008143985666585227,0.0
abiding,0.0,0.0,0.0008143985666585227,0.0
abilities,0.003564342319436359,0.0016631186801490153,0.004886391399951136,0.0
