,Austen_Persuasion,Doyle_TheHound,Austen_Pride,Doyle_TheLostWorld
on,0.348198971680298,-0.5664450351080479,1.6147926213352775,-1.3965465579075296
by,0.9584420061871547,-1.1250767323143025,1.2668940824200285,-1.1002593562928815
from,-1.6004336337154506,1.123244780671809,-0.49047304156029986,0.9676618946039401
this,-1.4058101384020936,1.5182067096507947,-0.6530356784387432,0.5406391071900419
so,0.184900045619851,-0.38634036847801356,1.6493104866890327,-1.4478701638308717
could,1.736999471945214,-1.252097061262574,0.14324336922303377,-0.6281457799056738
been,1.720450869665033,-0.4290669484049012,0.06919059714104807,-1.3605745184011802
there,-0.6941217477781578,1.5837916611429492,-1.3431786258820493,0.4535087125172594
no,0.6672811183899802,1.0673688965100143,0.11016008468873507,-1.8448100995887309
they,1.045846406369022,-1.7894683860696305,0.8341535929031851,-0.09053161320257756
me,-1.6123259032686008,1.4824196079412983,-0.24681556858079956,0.37672186390810114
would,1.5109058425436355,-0.8822195432971167,0.618724099014797,-1.2474103982613183
very,1.506412340572256,-0.3442839323195536,0.4030392496538464,-1.5651676579065474
said,-1.8090143670428895,1.0238182347610818,-0.03809716190786434,0.8232932941896725
one,-0.6333183045399905,1.215190269620649,-1.5060353698088096,0.924163404728151
what,-1.6869528003985639,0.5509261153737821,1.3443484344934244,-0.2083217494686443
an,-1.132695675732901,0.7343229830815879,-1.045486273596749,1.4438589662480643
upon,-1.05681633030904,1.0959775394830773,-1.1774246521143115,1.1382634429402743
our,-0.9392635169122753,0.19798703211582466,-1.0084628719975723,1.7497393567940225
them,0.46292627313844203,-1.908167570525115,0.9464895663644556,0.498751731022217
their,0.729372352326826,-1.9055214948290007,0.8576486813781382,0.3185004611240353
if,-1.1226009611727374,1.7753358603870353,0.10659804582621622,-0.7593329450405154
mr,0.12224429233502987,-0.8691390981785531,1.7789237697651998,-1.0320289639216766
will,-1.5363881783549447,0.5903562864310364,1.4330947578867783,-0.48706286596287185
more,1.7828127840352992,-0.8254894988322116,0.10525261831440169,-1.0625759035174909
or,1.751059882472222,-1.3064828812477787,-0.4753373239586377,0.030760322734195038
are,-1.7117899804781165,1.4031186513763516,0.317728011663306,-0.00905668256154229
when,0.423140475841037,-0.7789278712311507,1.6185413252856986,-1.262753929895585
your,-1.3301197663639979,0.571200286477505,1.5232543568610322,-0.7643348769745381
do,-0.039146575331158395,1.043817799187178,0.8023156467840071,-1.806986870640027
some,-1.0648203181252889,0.2237408606373337,-0.8952091816649771,1.7362886391529335
sir,-0.25470857433131217,1.8940096831377566,-0.8654588488241391,-0.7738422599823054
who,0.07483720716023597,1.322457887702985,0.3665490862028083,-1.7638441810660321
us,-1.2171679203618495,0.5900066923891573,-0.9057898698375628,1.5329510978102556
man,-0.6792716704810761,1.801986564369663,-1.1363313824550416,0.013616488566454239
should,0.7646234914121243,1.3099993088858073,-0.5142326081197894,-1.5603901921781484
such,0.6016569177124239,-1.3411729176842568,1.5024146560675185,-0.7628986560956861
than,1.5997552179898031,-1.0624930887404305,0.4954259951327751,-1.0326881243821473
must,1.2645137967257516,-0.8425814543922102,0.9296581972935477,-1.3515905396270878
only,1.918207826402752,-0.8837910100030355,-0.4703943593481448,-0.5640224570515711
any,1.3732194543069578,-0.9877339284458232,0.8232174901270177,-1.2087030159881522
out,-1.0569591852678297,1.4678721784945972,-1.1120335215478903,0.7011205283211216
now,0.44285485419681914,1.4485186483977361,-1.6228227938322741,-0.2685507087622778
well,1.2857190088081356,0.3622256030144833,0.1398374577590448,-1.7877820695816664
has,-0.9961937134007518,1.8100048039231647,0.04049609176488166,-0.8543071822872946
much,0.9135587010275653,-0.6766211573450439,1.2379096063052522,-1.474847149987773
then,-1.5470914394509767,1.252605849774605,-0.5577840776370503,0.8522696673134209
up,-0.9157010369006354,0.4081925700629827,-1.136585296122164,1.6440937629598167
mrs,1.3484918873804537,-0.8647058949407749,0.8344036407913871,-1.318189633231066
can,-1.803331348537365,0.48185367909338983,0.09387841808177413,1.227599251362201
did,0.460421170735936,0.3675865019294327,1.05400402402452,-1.882011696689888
am,-0.1307548479994812,-0.5799310281540547,1.8375787433767805,-1.1268928672232454
before,-1.4986419544420357,-0.5476234579642256,1.4477382712092783,0.5985271411969796
know,-0.2612734215861564,1.0363410125005055,0.9461394440845058,-1.7212070349988555
into,-1.0527221362817878,0.629337461322566,-1.093314017306299,1.5166986922655201
time,1.5588313202875341,-0.9180914459214968,0.5519485879312572,-1.1926884622972964
elizabeth,-0.26479239068174454,-0.8116595845579994,1.896850159555108,-0.8203981843153636
see,-0.35484119177285156,1.5602743441947242,-1.5282156731824244,0.3227825207605498
how,-0.18910016179232841,0.4586066430440374,1.401085976878317,-1.6705924581300267
might,1.4286847264928868,-0.13090355854152222,0.3757084182448233,-1.673489586196187
think,1.0230853594962295,-0.035297879909254225,0.8221967499609203,-1.809984229547894
good,1.6843285430179502,-0.8273138311965595,0.31692945420359925,-1.1739441660249894
may,-1.901894727154369,0.7981059399593321,0.2905053042543561,0.8132834829406802
anne,1.9364505578395488,-0.6514321333649523,-0.6335862911096443,-0.6514321333649523
own,1.5692924104585682,-0.08966759767840965,0.10713394938057146,-1.5867587621607264
great,0.2233614494682097,-1.2489818607176917,-0.6838947205170073,1.7095151317664894
other,1.0722469858086576,-1.2688249617412048,1.1521030530593064,-0.955525077126762
little,1.6905970975796658,-1.2474707530118836,0.27215622950733526,-0.7152825740751164
never,1.1719989985237758,-0.8729136458901943,1.0378313359889308,-1.336916688622513
down,-0.9962168456530743,0.8642741958970642,-1.209151743561117,1.3410943933171267
over,-0.7408739099255899,1.4540724849080549,-1.3770043429830143,0.6638057680005507
two,0.5555957136480242,0.32592855570079887,-1.8893030317203388,1.0077787623715184
about,-0.4828899344644526,1.8608520156141743,-1.1100851480318792,-0.26787693311784483
most,0.8862132445375895,-1.5876691190078505,1.2015841771019415,-0.5001283026316784
nothing,1.4488083618783203,-0.799051330579766,0.6878848332603321,-1.3376418645588843
being,1.7327522299579063,-0.9697107050165167,0.23739549751923034,-1.0004370224606196
again,1.2913107041710281,-0.6346464525168881,0.8366006138409341,-1.493264865495075
lady,1.6079910823159576,-0.719442811353962,0.42233064914365703,-1.3108789201056523
after,-0.23613496182394553,-1.0661250994917313,1.86761614204366,-0.5653560807279833
say,-1.1448523680542182,0.20106822158998347,1.737498719878039,-0.7937145734138102
first,1.3282009300411988,-1.759589587813459,0.0629221375866721,0.3684665201855914
come,-0.8276530746457205,1.2322750268039755,-1.3673494270026512,0.9627274748443962
